id,categoria,material,ancho_m,alto_m,peso_kg,tiempo_fabricacion_h,precio,defecto
M261,estante,metal,1.0,1.5,13.3,4,194000,no
M230,estante,mixto,0.9,1.9,13.6,4,196000,si
M271,estante,madera,0.94,1.64,18.9,4,151000,no
M287,estante,madera,0.66,1.58,17.4,7,146000,no
M344,biblioteca,madera,1.2,2.13,39.4,9,333000,si
M139,escritorio,tela,1.25,0.73,15.5,7,411000,si
M105,escritorio,metal,1.48,0.75,20.0,7,403000,no
M028,silla,metal,0.53,0.97,10.0,4,130000,no
M422,sofa,tela,2.28,0.99,46.0,17,847000,si
M098,escritorio,metal,1.47,0.77,20.6,5,504000,no
M292,estante,madera,0.87,1.93,10.9,7,152000,no
M411,sofa,tela,1.8,0.86,65.9,11,916000,si
M153,escritorio,madera,1.31,0.76,24.1,7,379000,no
M141,escritorio,madera,1.15,0.8,26.5,8,395000,no
M311,biblioteca,madera,0.92,1.87,39.3,10,251000,si
M069,silla,tela,0.6,0.92,5.7,4,113000,no
M498,cama,madera,1.29,0.41,59.5,12,631000,si
M302,biblioteca,madera,1.08,2.12,28.6,10,257000,no
M482,cama,metal,1.09,0.42,37.8,10,636000,no
M303,biblioteca,metal,1.2,2.06,35.1,11,405000,no
M087,escritorio,mixto,1.56,0.75,16.9,9,446000,no
M352,biblioteca,madera,1.02,2.04,34.8,7,303000,no
M361,biblioteca,madera,0.94,2.01,20.3,12,231000,no
